Module No,Module Nsme,"Complexity (Beginner, Standard, Expert)",Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Explanation,,,,,,,,,,,,
10,Reinsurance Contracts Held,Beginner,What is a reinsurance contract held under IFRS 17?,A contract under which an entity receives compensation for claims from a reinsurer,A contract issued to share profits with partners,Contract issued to insure customers,A contract for investment-linked business,A contract under which an entity receives compensation for claims from a reinsurer,A reinsurance contract held is one where the insurer (cedant) transfers insurance risk and receives compensation from the reinsurer for claims.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Standard,When should a reinsurance contract held be initially recognized?,When the reinsurer pays a claim,At the start of the underlying insurance contract,At the earlier of coverage start or when underlying contracts are onerous,At the end of the reporting period,At the earlier of coverage start or when underlying contracts are onerous,Recognition occurs at the earlier of when reinsurance coverage begins or when the reinsurance covers a recognized loss from onerous contracts.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Standard,Can a gain on purchase of reinsurance be recognized immediately?,"Yes, it boosts profit","No, it is included in the CSM",Only if the reinsurer agrees,"Yes, under PAA","No, it is included in the CSM",Gains on the purchase of reinsurance are deferred within the Contractual Service Margin (CSM) and recognized over the coverage period.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Standard,Which of the following is NOT included in fulfilment cash flows for reinsurance contracts held?,Future claims recoveries,Discounting,Reinsurer’s risk appetite,Risk adjustment,Reinsurer’s risk appetite,"Fulfilment cash flows include expected recoveries, discounting, and risk adjustment—not subjective elements like reinsurer's risk appetite.",,,,,,,,,,,,
10,Reinsurance Contracts Held,Beginner,What is the impact of reinsurance on the insurer’s risk exposure?,Increases risk,No impact,Transfers and reduces risk,Creates an additional liability,Transfers and reduces risk,Reinsurance helps the insurer reduce and manage their insurance risk by transferring a portion of it to the reinsurer.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Standard,How are changes in fulfilment cash flows for reinsurance contracts treated?,Adjust the CSM or go through P&L,Ignore until contract maturity,Expensed as acquisition costs,Deferred indefinitely,Adjust the CSM or go through P&L,"Changes in fulfilment cash flows adjust the CSM if they relate to future services, or are recognized in profit or loss otherwise.",,,,,,,,,,,,
10,Reinsurance Contracts Held,Standard,"Under the General Model, what happens to the CSM for reinsurance contracts held over time?",It grows with claims paid,It’s released based on services received,It remains constant,It is immediately expensed,It’s released based on services received,The CSM for reinsurance contracts held is released over time based on the receipt of reinsurance services.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Standard,How are reinsurance recoveries presented in the income statement?,Included in insurance revenue,Included in investment income,Separately from insurance revenue,Net of insurance service expenses,Separately from insurance revenue,IFRS 17 requires that reinsurance income and expenses be presented separately from insurance revenue and service expenses.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Standard,How are recoveries for past claims treated under reinsurance contracts held?,Deferred in CSM,Expensed as incurred,Recognized in profit or loss immediately,Deducted from LRC,Recognized in profit or loss immediately,Recoveries for past claims are immediately recognized in profit or loss as they relate to events that have already occurred.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Beginner,What is the impact of a reinsurance CSM being negative?,It represents a loss,It is a liability,It is not allowed,"It’s treated as an asset, not a liability","It’s treated as an asset, not a liability",A negative CSM on a reinsurance contract held represents a net cost to the insurer and is treated as an asset.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Beginner,reinsurance contracts held?,Reduce volatility,Reflect time value and uncertainty of cash flows,Maximise profit,Align with tax rules,Reflect time value and uncertainty of cash flows,"IFRS 17 focuses on current, market-consistent measurement of insurance obligations.",,,,,,,,,,,,
10,Reinsurance Contracts Held,Expert,Which assumption requires the highest level of judgement under Reinsurance Contracts Held?,Contract boundary,Discount rate determination,Policy count,Premium frequency,Discount rate determination,Discount rates require judgement to reflect characteristics of the insurance cash flows.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Standard,How does a change in estimates affect the CSM under Reinsurance Contracts Held?,Always recognised in profit or loss,Always ignored,Adjusted against CSM if it relates to future service,Recognised as OCI only,Adjusted against CSM if it relates to future service,Changes related to future service adjust the CSM under IFRS 17.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Standard,When would Reinsurance Contracts Held result in immediate profit or loss recognition?,At initial recognition of profitable contracts,When contracts become onerous,When premiums are received,Never,When contracts become onerous,Onerous contracts result in immediate loss recognition.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Expert,What is the key disclosure requirement related to Reinsurance Contracts Held?,Only total revenue,Judgements and methods applied,Tax reconciliation,Dividend policy,Judgements and methods applied,IFRS 17 requires disclosure of key judgements and assumptions.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Beginner,What is the purpose of IFRS 17?,Increase profits,Standardise insurance accounting,Reduce taxes,Eliminate judgement,Standardise insurance accounting,IFRS 17 provides a consistent framework for accounting for insurance contracts.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Beginner,Which contracts are within the scope of IFRS 17?,Investment contracts only,Insurance contracts,Service contracts,Lease contracts,Insurance contracts,IFRS 17 applies to insurance contracts issued.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Beginner,What does CSM represent?,Past losses,Unearned profit,Investment income,Risk margin,Unearned profit,CSM represents unearned profit recognised over service period.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Beginner,What is an onerous contract?,Profitable contract,Contract with expected losses,Expired contract,Reinsured contract,Contract with expected losses,Onerous contracts have fulfilment cash flows exceeding premiums.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Beginner,What is the contract boundary?,Policy term only,Point where insurer can reprice risk,Reinsurance limit,Coverage period,Point where insurer can reprice risk,Contract boundary defines which cash flows are included.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Expert,How should changes in estimates relating to future service be treated?,Profit or loss,OCI,Adjust CSM,Ignore,Adjust CSM,Changes relating to future service adjust the CSM.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Expert,When is a loss component established?,Initial recognition,When contract becomes onerous,At maturity,Never,When contract becomes onerous,Loss component is recognised for onerous groups.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Expert,Which discount rate approach reflects asset yields adjusted for credit risk?,Bottom-up,Top-down,Historical,Locked-in,Top-down,Top-down approach starts with asset yields and adjusts.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Expert,How are reinsurance recoveries recognised for onerous contracts?,Deferred,Ignored,Immediately recognised,OCI,Immediately recognised,IFRS 17 allows immediate recognition of reinsurance recoveries.,,,,,,,,,,,,
10,Reinsurance Contracts Held,Expert,What disclosure is required for significant judgements?,Optional,Not required,Mandatory,Only quantitative,Mandatory,IFRS 17 requires disclosure of significant judgements.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Standard,Which of the following statements best describes a key difference between insurance contracts with direct participation features and investment contracts with discretionary participation features under IFRS 17?,"Insurance contracts with direct participation features are accounted for under IFRS 9, while investment contracts with discretionary participation features are accounted for under IFRS 17.",Both contract types are accounted for using the Premium Allocation Approach (PAA) under IFRS 17.,"Insurance contracts with direct participation features use the Variable Fee Approach (VFA), while investment contracts with discretionary participation features are accounted for under IFRS 17 with minor modifications.",Investment contracts with discretionary participation features involve no discretionary element and must follow IFRS 15.,"Insurance contracts with direct participation features use the Variable Fee Approach (VFA), while investment contracts with discretionary participation features are accounted for under IFRS 17 with minor modifications.","IFRS 17 distinguishes DPCs using the VFA from investment contracts with DPFs, which remain within IFRS 17 but with modifications.",,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Standard,Which of the following contracts would be classified as an investment contract with discretionary participation features under IFRS 17?,A savings contract where the insurer retains discretion over bonus payments and the contract does not transfer significant insurance risk.,A unit-linked investment product with guaranteed returns and no discretionary elements.,A life insurance contract that entitles the policyholder to a share of asset returns and includes significant insurance risk.,A pure term life policy with no investment component or discretionary features.,A savings contract where the insurer retains discretion over bonus payments and the contract does not transfer significant insurance risk.,"Such contracts lack significant insurance risk but include discretionary returns, qualifying as investment contracts with DPFs.",,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Standard,"Under IFRS 17, what does the coverage period of a Direct Participation Contract (DPC) include?",Only the period during which insurance risk is present.,Only the period over which investment returns are credited to the policyholder.,Both the investment and insurance service periods under the contract.,Only the period where fair value of underlying items increases.,Both the investment and insurance service periods under the contract.,DPC coverage includes both insurance and investment services provided to the policyholder.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Beginner,Which of the following best defines an underlying item under IFRS 17?,Any asset owned by the insurer,Any amount guaranteed to the policyholder,Any item that determines amounts payable to the policyholder,A group of insurance contracts with discretionary returns,Any item that determines amounts payable to the policyholder,Underlying items form the basis for determining benefits payable to the policyholder.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Standard,"According to IFRS 17, what makes a policyholder’s participation in a pool of underlying items valid for DPC classification?",The insurer’s intention to share profits,A strong historical pattern of bonus declarations,A legally enforceable right to a share of underlying items,Regulatory expectation that profits be distributed fairly,A legally enforceable right to a share of underlying items,"DPC classification requires enforceable contractual rights, not expectations or intentions.",,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Standard,Which of the following contracts is most likely NOT to qualify as having a clearly identified pool of underlying items under IFRS 17?,A unit-linked contract where fund allocation is defined,A with-profits contract tied to a disclosed internal asset pool,A policy linked to an external market index explicitly mentioned in the policy,A universal life contract where the crediting rate is set by the insurer ex post,A universal life contract where the crediting rate is set by the insurer ex post,The lack of a clearly defined pool prevents DPC qualification.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Expert,When is the assessment of whether an insurance contract qualifies as a Direct Participation Contract (DPC) performed under IFRS 17?,At initial recognition and not subsequently repeated,At the date of contract modification,At the end of each reporting period,"Annually, based on updated assumptions",At initial recognition and not subsequently repeated,The DPC assessment is performed once unless modification leads to derecognition.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Standard,Which of the following statements is TRUE about discounting in the measurement of Direct Participation Contracts under IFRS 17?,DPCs use locked-in discount rates for all adjustments,Adjustments to cash flows not based on underlying items are discounted using current rates,DPCs follow a special discounting method unique to these contracts,Discounting is not applicable to DPCs,Adjustments to cash flows not based on underlying items are discounted using current rates,IFRS 17 applies current discount rates for non-underlying item cash flow adjustments.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Standard,How does the adjustment of the Contractual Service Margin (CSM) for financial risks differ between contracts with and without direct participation features under IFRS 17?,"Contracts with direct participation features adjust the CSM for changes in financial risk using the current interest curve, even if unrelated to future service.",Only contracts without direct participation features adjust the CSM for financial risks using the current discount rate.,"For both types of contracts, the CSM is adjusted using the locked-in interest rate.",Neither type of contract adjusts the CSM for financial risks unrelated to underlying items.,"Contracts with direct participation features adjust the CSM for changes in financial risk using the current interest curve, even if unrelated to future service.",DPCs reflect current financial assumptions in CSM adjustments unlike other contracts.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Beginner,What is the appropriate IFRS 17 treatment when a Direct Participation Contract (DPC) is modified such that it no longer meets the definition of a DPC?,The contract continues to be treated as a DPC until expiry.,The contract is reclassified prospectively without derecognition.,"The original contract is derecognised, and a new contract is recognised based on the modified terms.",Only the CSM is adjusted to reflect the modification.,"The original contract is derecognised, and a new contract is recognised based on the modified terms.",Loss of DPC status requires derecognition and recognition of a new contract.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Standard,Which of the following best describes an investment contract with discretionary participation features under IFRS 17?,A financial instrument that guarantees fixed returns and is always classified under IFRS 9.,A contract that gives the investor a right to additional amounts determined solely by market interest rates.,A unit-linked insurance contract with no discretionary elements.,A financial instrument providing the investor with a right to receive significant additional benefits that are contractually discretionary and based on returns or performance.,A financial instrument providing the investor with a right to receive significant additional benefits that are contractually discretionary and based on returns or performance.,Investment contracts with DPFs provide discretionary performance-based benefits and fall under IFRS 17.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Beginner,"Under IFRS 17, what is the primary objective of investment contracts with discretionary participation features?",Reduce volatility,Reflect time value and uncertainty of cash flows,Maximise profit,Align with tax rules,Reflect time value and uncertainty of cash flows,"IFRS 17 focuses on current, market-consistent measurement of insurance obligations.",,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Expert,Which assumption requires the highest level of judgement under Investment Contracts with Discretionary Participation Features?,Contract boundary,Discount rate determination,Policy count,Premium frequency,Discount rate determination,Discount rates require judgement to reflect characteristics of the insurance cash flows.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Standard,How does a change in estimates affect the CSM under Investment Contracts with Discretionary Participation Features?,Always recognised in profit or loss,Always ignored,Adjusted against CSM if it relates to future service,Recognised as OCI only,Adjusted against CSM if it relates to future service,Changes related to future service adjust the CSM under IFRS 17.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Standard,When would Investment Contracts with Discretionary Participation Features result in immediate profit or loss recognition?,At initial recognition of profitable contracts,When contracts become onerous,When premiums are received,Never,When contracts become onerous,Onerous contracts result in immediate loss recognition.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Expert,What is the key disclosure requirement related to Investment Contracts with Discretionary Participation Features?,Only total revenue,Judgements and methods applied,Tax reconciliation,Dividend policy,Judgements and methods applied,IFRS 17 requires disclosure of key judgements and assumptions.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Beginner,What is the purpose of IFRS 17?,Increase profits,Standardise insurance accounting,Reduce taxes,Eliminate judgement,Standardise insurance accounting,IFRS 17 provides a consistent framework for accounting for insurance contracts.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Beginner,Which contracts are within the scope of IFRS 17?,Investment contracts only,Insurance contracts,Service contracts,Lease contracts,Insurance contracts,IFRS 17 applies to insurance contracts issued.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Beginner,What does CSM represent?,Past losses,Unearned profit,Investment income,Risk margin,Unearned profit,CSM represents unearned profit recognised over service period.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Beginner,What is an onerous contract?,Profitable contract,Contract with expected losses,Expired contract,Reinsured contract,Contract with expected losses,Onerous contracts have fulfilment cash flows exceeding premiums.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Beginner,What is the contract boundary?,Policy term only,Point where insurer can reprice risk,Reinsurance limit,Coverage period,Point where insurer can reprice risk,Contract boundary defines which cash flows are included.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Expert,How should changes in estimates relating to future service be treated?,Profit or loss,OCI,Adjust CSM,Ignore,Adjust CSM,Changes relating to future service adjust the CSM.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Expert,When is a loss component established?,Initial recognition,When contract becomes onerous,At maturity,Never,When contract becomes onerous,Loss component is recognised for onerous groups.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Expert,Which discount rate approach reflects asset yields adjusted for credit risk?,Bottom-up,Top-down,Historical,Locked-in,Top-down,Top-down approach starts with asset yields and adjusts.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Expert,How are reinsurance recoveries recognised for onerous contracts?,Deferred,Ignored,Immediately recognised,OCI,Immediately recognised,IFRS 17 allows immediate recognition of reinsurance recoveries.,,,,,,,,,,,,
11,Investment Contracts with Discretionary Participation Features,Expert,What disclosure is required for significant judgements?,Optional,Not required,Mandatory,Only quantitative,Mandatory,IFRS 17 requires disclosure of significant judgements.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Standard,When is a contract considered modified under IFRS 17?,When it is extended,When contractual cash flows change,When insurer and policyholder agree on new terms,When premiums change,When contractual cash flows change,"A contract is modified when the terms change in a way that affects fulfilment cash flows, not just administrative details.",,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Standard,What is the first step when assessing a contract modification under IFRS 17?,Recognize as new contract,Adjust the CSM,Assess whether modification is substantial,Update the risk adjustment,Assess whether modification is substantial,The insurer must first assess whether the modification significantly changes the contract terms.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Standard,"If a contract modification results in substantially different terms, what is the accounting treatment?",Adjust liability only,Derecognize old and recognize new contract,Adjust insurance revenue,Disclose in notes only,Derecognize old and recognize new contract,Substantial modifications require derecognition of the old contract and recognition of a new one.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Standard,What is the impact on CSM if a modification is not substantial?,It is reversed,It is remeasured,It is released to profit,It is written off,It is remeasured,"For non-substantial modifications, the CSM is adjusted without derecognition.",,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Beginner,"Under IFRS 17, what causes derecognition of an insurance contract?",Claims payment,Expiry of coverage,Settlement or cancellation,Change in accounting policy,Settlement or cancellation,"Derecognition occurs when the insurer’s obligation ends, such as settlement or cancellation.",,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Standard,Which of the following changes is considered substantial?,Adding a new coverage type,Change in billing address,Change in payment date,Update to claims contact,Adding a new coverage type,Adding new coverage significantly alters the risk profile of the contract.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Beginner,How is the carrying amount of the derecognized contract treated?,It is capitalized,It is transferred to reserves,It is removed from the balance sheet,It is restated,It is removed from the balance sheet,Derecognition removes the contract liability from the statement of financial position.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Standard,How is a new contract initially recognized?,Based on old values,Using fair value,Using fulfilment cash flows at date of modification,Not recognized separately,Using fulfilment cash flows at date of modification,The new contract is measured using fulfilment cash flows at the modification date.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Standard,How are derecognised contracts due to full settlement treated?,CSM is amortized,Recognize gain/loss,Asset revaluation,Insurance revenue restated,Recognize gain/loss,A gain or loss is recognized upon full settlement of the contract.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Beginner,What is the primary difference between substantial and non-substantial modifications?,Impact on reinsurance,Change in timing of premium,Need for derecognition,Claims experience,Need for derecognition,Only substantial modifications require derecognition under IFRS 17.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Standard,Which of the following is NOT a reason for derecognition?,Contract lapses,Contract is modified substantially,Policy is cancelled,Policyholder pays premium early,Policyholder pays premium early,Early premium payment does not extinguish the insurer’s obligation.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Beginner,What is the derecognition criteria under IFRS 17 for insurance contract liabilities?,Legal cancellation,Transfer to another insurer,Extinguishment of obligation,Policyholder request,Extinguishment of obligation,Derecognition occurs when the insurer’s obligation is fully extinguished.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Standard,What must be disclosed upon derecognition of a contract?,Nothing,Reason for derecognition and financial impact,Transition adjustments,Future premiums,Reason for derecognition and financial impact,IFRS 17 requires disclosure of both the reason and financial effect of derecognition.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Beginner,Which modification would not be considered substantial?,Adding a new benefit,Removing a major risk cover,Changing claim limits significantly,Changing policyholder address,Changing policyholder address,Administrative changes do not materially affect contract terms.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Expert,"If a contract modification changes expected cash flows only for part of a portfolio, how should IFRS 17 treat the modification?",Apply modification to all contracts in the portfolio,Assess materiality and adjust only affected contracts,Derecognize the whole portfolio,Ignore minor changes,Assess materiality and adjust only affected contracts,Modifications affecting only a subset of contracts require assessing materiality. Only the affected contracts’ CSM and fulfilment cash flows are adjusted; the rest remain unchanged.,,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Expert,How should an insurer treat a modification that alters the timing but not the amount of premiums or benefits?,Always derecognize and recognize a new contract,Ignore the modification,Adjust CSM for time value changes only,Recognize gain/loss immediately,Adjust CSM for time value changes only,"IFRS 17 requires adjusting fulfilment cash flows and CSM for changes in timing (time value of money), but no derecognition occurs if cash flow amounts are unchanged.",,,,,,,,,,,,
12,Modification and Derecognition of Insurance Contracts,Expert,How is the day-1 gain/loss treated if a substantial modification results in immediate recognition of a new contract with favorable cash flows?,Recognized immediately in profit or loss,Deferred over the original contract term,Added to the old CSM,Recorded in OCI,Recognized immediately in profit or loss,"Substantial modifications derecognize the old contract and create a new contract. Any favorable day-1 gain from the new contract is recognized immediately in profit or loss, as it represents current expected profit.",,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Expert,How are changes in the risk adjustment presented if not disaggregated?,In other comprehensive income,Fully within the insurance service result,As a deferred liability,As finance income,Fully within the insurance service result,"If an entity does not choose to disaggregate changes in the risk adjustment, the full change is presented within the insurance service result as per IFRS 17 guidance.",,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Standard,"How should an entity present a group of contracts with a net obligation (i.e., expected outflows exceed inflows) in the statement of financial position?",As an asset,As a liability,Under equity,Offset against premiums receivable,As a liability,"Under IFRS 17, if fulfilment cash flows of a group of insurance contracts result in a net obligation, it is presented as a liability in the statement of financial position.",,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Beginner,How should an entity present insurance contracts issued in the statement of financial position?,Only when the contracts are profitable,Combined with acquisition cash flows only,"As either assets or liabilities, depending on the net fulfilment cash flows",Net of reinsurance recoverables,"As either assets or liabilities, depending on the net fulfilment cash flows","Insurance contracts are presented based on whether fulfilment cash flows result in a net asset or liability, providing clarity on the insurer’s financial position.",,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Standard,What drives the distinction between insurance revenue and insurance finance income/expenses?,Time value of money and discount rates,Policy type,Underwriting year,Geographical spread,Time value of money and discount rates,"Revenue reflects service delivery, while insurance finance income/expenses reflect economic effects from interest rates and the time value of money.",,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Expert,What is the appropriate presentation of acquisition costs related to a group of reinsurance contracts held?,Expensed immediately,Included in insurance service expenses,Reported under administrative expenses,Included in the carrying amount of reinsurance contracts held,Included in the carrying amount of reinsurance contracts held,"IFRS 17 requires acquisition cash flows related to reinsurance contracts held to be included in the carrying amount of the group, ensuring proper expense matching.",,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Beginner,Which of the following would most likely be presented as an insurance liability?,Deferred acquisition costs,Accrued interest income,Outstanding claims reserves,Expected future premium inflows,Outstanding claims reserves,Outstanding claims reserves represent obligations still owed by the insurer and are therefore presented as insurance liabilities.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Standard,"Under IFRS 17, how are insurance contract assets and liabilities presented in the Statement of Financial Position?",Offset against each other,Presented separately for each group of contracts,Presented net at the entity level,Combined and shown as a single line item,Presented separately for each group of contracts,IFRS 17 requires insurance contract assets and liabilities to be presented separately for each group and prohibits offsetting at the entity level.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Standard,What is the treatment of a group of onerous contracts in the SFP?,Recognized as a liability,Included under reinsurance,Recognized as an asset,Deferred to future periods,Recognized as a liability,Onerous contracts result in expected losses and must be recognized as liabilities in the statement of financial position under IFRS 17.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Beginner,Which IFRS 17 paragraph outlines the presentation requirements for the SFP?,IFRS 17.32,IFRS 17.109,IFRS 17.42,IFRS 17.78,IFRS 17.78,IFRS 17.78 outlines the requirement for separate presentation of insurance contract assets and liabilities in the statement of financial position.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Standard,Which of the following is not shown separately in IFRS 17 SFP presentation?,Insurance contract liabilities,Insurance contract assets,Deferred acquisition costs,Reinsurance contract assets,Deferred acquisition costs,"Under IFRS 17, deferred acquisition costs are not presented separately but are included within the measurement (fulfilment cash flows) of insurance contracts.",,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Beginner,What determines whether an insurance contract is presented as an asset or a liability under IFRS 17?,Policyholder type,Contract duration,Net fulfilment cash flows,Premium payment frequency,Net fulfilment cash flows,Insurance contracts are presented as assets or liabilities based on whether fulfilment cash flows result in net inflows or outflows.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Beginner,Where are reinsurance contracts held presented in the statement of financial position?,Netted against insurance contract liabilities,Under equity,Separately as reinsurance contract assets or liabilities,Included in insurance revenue,Separately as reinsurance contract assets or liabilities,IFRS 17 requires reinsurance contracts held to be presented separately from insurance contracts issued.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Beginner,Which component is included in the measurement of insurance contract liabilities rather than shown separately?,Outstanding claims,Deferred acquisition costs,Risk adjustment,Fulfilment cash flows,Deferred acquisition costs,Acquisition cash flows are included within fulfilment cash flows and not shown as a separate line item.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Beginner,What is the primary purpose of separate presentation of insurance contract assets and liabilities?,To simplify reporting,To align with tax reporting,To enhance transparency of financial position,To reduce volatility,To enhance transparency of financial position,Separate presentation improves clarity of an insurer’s financial position.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Beginner,Are insurance contract assets allowed to be offset against insurance contract liabilities?,Always allowed,Allowed only for the same product,Not allowed,Allowed at entity level,Not allowed,IFRS 17 prohibits offsetting to ensure transparency.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Expert,How should insurance contract assets and liabilities be aggregated for presentation purposes under IFRS 17?,By underwriting year,By portfolio only,By group of insurance contracts,At entity level,By group of insurance contracts,"Presentation follows the IFRS 17 unit of account, which is the group of insurance contracts.",,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Expert,How is the loss component of onerous contracts reflected in the statement of financial position?,Included within insurance revenue,Recognized within insurance contract liabilities,Presented as a separate equity reserve,Deferred until claims are incurred,Recognized within insurance contract liabilities,The loss component forms part of the insurance contract liability.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Expert,What presentation impact results from choosing to disaggregate insurance finance income or expenses?,Changes insurance revenue,Affects equity only,Determines presentation between profit or loss and OCI,Changes fulfilment cash flows,Determines presentation between profit or loss and OCI,The policy choice affects whether insurance finance income or expenses are split between P&L and OCI.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Expert,How are changes in estimates relating to future service reflected in the SFP?,Recognized immediately in equity,Adjust the CSM or liability,Presented as insurance finance income,Deferred indefinitely,Adjust the CSM or liability,Changes related to future service adjust the CSM or liability.,,,,,,,,,,,,
13,Presentation in the Statement of Financial Position,Expert,"When measuring reinsurance contracts held, how are expected recoveries from onerous insurance contracts presented?",As insurance revenue,As a separate asset in reinsurance contracts held,Offset against insurance liabilities,Included in OCI,As a separate asset in reinsurance contracts held,"IFRS 17 requires recognition of a gain on reinsurance contracts held, presented separately.",,,,,,,,,,,,
14,Insurance Service Result,Standard,What are the two main components an entity must disaggregate in the statement of financial performance?,Revenue and Expenses,Insurance Profit and Investment Return,Earned Premium and Unearned Premium,Insurance Service Result and Insurance Finance Income or Expenses,Insurance Service Result and Insurance Finance Income or Expenses,IFRS 17 requires disaggregation into Insurance Service Result and Insurance Finance Income or Expenses in the statement of financial performance.,,,,,,,,,,,,
14,Insurance Service Result,Standard,Which of the following is included in the insurance service result?,Change in risk adjustment for non-financial risk,Insurance revenue and insurance service expenses,Investment income,Premium refunds,Insurance revenue and insurance service expenses,The insurance service result comprises insurance revenue and insurance service expenses (Paragraph 83).,,,,,,,,,,,,
14,Insurance Service Result,Standard,How should an entity present income or expenses from reinsurance contracts held?,Separately from insurance contracts issued,Together with insurance contracts issued,Only in other comprehensive income,As a deferred liability,Separately from insurance contracts issued,Reinsurance contract results must be presented separately from insurance contracts issued (Paragraph 85).,,,,,,,,,,,,
14,Insurance Service Result,Standard,What should insurance revenue reflect?,Premiums received,Claims paid,The consideration expected in exchange for coverage and services,Cash flow timing,The consideration expected in exchange for coverage and services,Insurance revenue should depict the consideration to which the entity expects to be entitled for providing insurance coverage and services (Paragraph 83).,,,,,,,,,,,,
14,Insurance Service Result,Standard,Which of the following is NOT included in insurance service expenses?,Incurred claims,Investment components,Other incurred insurance service expenses,Amounts in paragraph 103(b),Investment components,Insurance service expenses exclude investment components (Paragraph 84).,,,,,,,,,,,,
